,year,Renewable energy consumption (TJ),Access to electricity (% of rural population with access),Access to Clean Fuels and Technologies for cooking (% of total population),Access to electricity (% of total population),Access to electricity (% of urban population with access),Energy intensity level of primary energy (MJ/2011 USD PPP),Renewable electricity output (GWh),Renewable electricity share of total electricity output (%),Renewable energy share of TFEC (%),Total electricity output (GWh),Total final energy consumption (TFEC) (TJ),country
8,1998,2447760.0,100.0,,100.0,100.0,7.56902635840737,365559.0,9.60858498243135,4.534296889580901,3804504.0,53983231.79112,USA
9,1999,3186229.0,100.0,,100.0,100.0,7.42580269733143,351308.0,9.06920058095258,5.70972659311957,3873638.0,55803530.134692006,USA
10,2000,3167129.0,100.0,100.0,100.0,100.0,7.335371396074099,330364.0,8.20599694228722,5.42962368850183,4025885.0,58330543.361724,USA
11,2001,2677065.0,100.0,100.0,100.0,100.0,7.128216808685419,260426.0,6.783992314326941,4.67857120998539,3838831.0,57219712.597008,USA
12,2002,2770880.0,100.0,100.0,100.0,100.0,7.08236787119647,348137.0,8.646361177816699,4.840779184482621,4026399.0,57240371.733588,USA
13,2003,3092945.0,100.0,100.0,100.0,100.0,6.90496749066525,360433.0,8.88937612108964,5.326282273569809,4054649.0,58069490.897016004,USA
14,2004,3223103.0,100.0,100.0,100.0,100.0,6.790206058540961,357987.0,8.63018553161945,5.477656518317831,4148080.0,58840911.057888,USA
15,2005,3439771.0,100.0,100.0,100.0,100.0,6.60173784003223,366205.0,8.57846553445898,5.84109087259038,4268887.0,58889188.25319599,USA
16,2006,3755239.0,100.0,100.0,100.0,100.0,6.3694074043804,395209.0,9.24463118340514,6.39651397057971,4275011.0,58707586.933631994,USA
17,2007,3755210.0,100.0,100.0,100.0,100.0,6.36757144746924,361815.0,8.367763936155079,6.30412819821935,4323915.0,59567475.183336,USA
18,2008,3989400.0,100.0,100.0,100.0,100.0,6.22245169027002,391022.0,9.00354134718557,6.84554083511255,4342980.0,58277353.040352,USA
19,2009,4070025.0,100.0,100.0,100.0,100.0,6.084563270765161,428696.0,10.291845071115699,7.35440475450257,4165395.0,55341324.496836,USA
20,2010,4327122.0,100.0,100.0,100.0,100.0,6.0724792214272,440677.0,10.1203551472397,7.5051720554451,4354363.0,57655200.547476,USA
21,2011,4663837.0,100.0,100.0,100.0,100.0,5.909836749586769,528962.0,12.2257135163932,8.164451646232651,4326635.0,57123701.653032,USA
22,2012,4802944.0,100.0,100.0,100.0,100.0,5.69299524637643,512822.0,12.007397063465099,8.48145040759456,4270884.0,56628804.85275601,USA
23,2013,5052304.0,100.0,100.0,100.0,100.0,5.67603563128095,541802.0,12.637919122281302,8.71326157278159,4287114.0,57984073.561872,USA
24,2014,5175231.0,100.0,100.0,100.0,100.0,5.62114571317303,559496.0,12.953827090292599,8.75430895443964,4319156.0,59116385.164536,USA
25,2015,5097931.0,100.0,100.0,100.0,100.0,5.408392539553519,568439.0,13.2285932109672,8.71693586705814,4297048.0,58483061.912448,USA
26,2016,,100.0,100.0,100.0,100.0,,,,,,,USA
0,1990,818879.8,45.136922672563706,,59.9366035461426,93.53985595703129,5.46012940982267,16925.0,44.9260743768747,57.50053324402221,37673.0,1424125.5755399999,Pakistan
1,1991,845160.2,44.7,,59.6,95.2,5.32913096820188,18303.0,44.5588664913818,58.0912937448666,41076.0,1454882.729436,Pakistan
2,1992,871558.3,49.1230114112287,,63.0752372741699,94.0186767578125,5.270224153816019,21112.0,43.2534316738373,55.98220548175429,48810.0,1556848.81026,Pakistan
3,1993,891197.5,51.129990385841,,64.641242980957,94.2569732666016,5.44234478903556,19436.0,38.376179757532704,54.148189308757,50646.0,1645849.125108,Pakistan
4,1994,922235.4,53.1413964571607,,66.2011260986328,94.4932098388672,5.46181907841161,22858.0,42.681355615722204,54.1957599173604,53555.0,1701674.450928,Pakistan
5,1995,944340.5,55.1533807927728,,67.7518310546875,94.72634887695308,5.434871723941881,23206.0,40.7430166616922,53.122876016644106,56957.0,1777653.1897560002,Pakistan
6,1996,955355.8,57.1614968852154,,69.29030609130861,94.9553680419922,5.4553276547344005,20858.0,35.2778012684989,52.1697429164645,59125.0,1831244.9833799999,Pakistan
7,1997,976003.3,59.16291718679479,,70.8134765625,95.1792373657227,5.54413272128116,22060.0,35.4919153728582,51.93672445328551,62155.0,1879216.123608,Pakistan
8,1998,992678.0,60.07,,70.46,93.14,5.52327511144911,22449.0,34.3109983493306,51.603478098381395,65428.0,1923664.908996,Pakistan
9,1999,1010793.0,63.1226955778819,,73.8017120361328,95.6073837280273,5.62593931334963,19288.0,29.321982365460602,50.234476700196105,65780.0,2012149.954368,Pakistan
10,2000,1028856.0,65.07034650525401,22.62,75.2621612548828,95.8102493286133,5.540251451378349,17194.0,25.2422338363967,50.959149492699794,68116.0,2018981.890872,Pakistan
11,2001,1053960.0,68.49966994711579,24.14,77.7,96.00768280029301,5.52117877280807,18941.0,26.1507662570758,51.317454391077696,72430.0,2053804.1344919999,Pakistan
12,2002,1083577.0,68.9291432965784,25.39,78.133903503418,96.20250701904301,5.408805308980059,22351.0,29.5241995138962,51.089236391868,75704.0,2120949.688284,Pakistan
13,2003,1117839.0,70.8569062022808,26.63,79.5573196411133,96.3975296020508,5.39291390982465,26944.0,33.3341581096128,49.7101465157136,80830.0,2248713.95148,Pakistan
14,2004,1136601.0,72.7950324329079,28.12,80.9805145263672,96.59557342529301,5.384772910535291,25671.0,29.9793294327856,47.5096912009834,85629.0,2392356.109392,Pakistan
15,2005,1172802.0,74.27,29.23,83.85,96.4,5.185951565651201,30862.0,32.9620096337673,47.5155968611295,93629.0,2468246.381136,Pakistan
16,2006,1200230.0,76.73858555233159,30.5,83.8504943847656,97.0119857788086,5.0881049614495595,31953.0,32.5343895410994,46.513008383491105,98213.0,2580417.912564,Pakistan
17,2007,1217336.0,84.4,31.81,89.2,98.3,5.11362727849871,28707.0,30.0090946153605,44.276075243657395,95661.0,2749421.6533439998,Pakistan
18,2008,1238552.0,80.8296813001982,33.05,86.79083251953129,97.47350311279301,4.94367627417617,27784.0,30.3265805099546,45.99395550961571,91616.0,2692858.194684,Pakistan
